"","whale_easting","whale_northing","Event_ID","EvB_Wpt_Id","SwB_Wpt_ID","whale_depth_m","whale_dist_to_shore_m","Event_Date","DateTxt","Year","JulianDay","Julian_DateTxt","TimeTxt","CPA","ObType","ObOrder_CPA","ObOrder_Time","Ship","Observer","ObLocation","Approx","Count","IS_WW","WW_Speed","ship_azimuth","GPS_easting","GPS_northing","ship_speed","ship_bb_easting","ship_bb_northing","ship_bb_to_whale_azimuth","ship_bb_to_whale_dist","ship_bb_to_whale_bearing","Subarea1","Subarea2","Subarea3","ship_depth_m","ship_dist_to_shore_m","month","season","whale_direction","whale_orientation","whale_behavior","clouds","rain","wind","waves","visibility","sst_fn","sst","point_ocean_depth","ave_ocean_depth_250m_buff","chlor_fn","chlor_a","chlor_ann_fn","chlor_a_ann"
"1",438932.4761,6481278.975,"2013-05-12-N","2013-05-12-N-020","2013-05-12-N-020",-76,1452.860712,"5/12/2013",20130512,2013,132,2013132,"16:09:01","Y","Single",1,1,"Volendam","Nat","Starboard","y",1,"y",13,171.455733,438338.187,6485234.549,10.45053358,438341.4737,6485226.134,171.4844444,3991.1581,0.028711357,"Lower Bay","Lower Bay","Lower Bay",-98,1830.335398,5,0,"WA-With/Aw","45-45-degrees","DF-Dive-fluke-up","90","none","moderate","calm","excellent","20130512.nc",279.6830139,-64,-49.42857143,"2013_5.img",NA,"2013.img",NA
"2",434619.3467,6501239.279,"2013-05-14-N","2013-05-14-N-003","2013-05-14-N-003",-260,3646.77988,"5/14/2013",20130514,2013,134,2013134,"8:12:51","Y","Single",1,1,"Westerdam","Nat","Starboard","y",1,"n",0,321.4459464,435101.563,6500732.089,15.08477276,435091.0864,6500742.025,316.5083115,685.4197776,-4.937634966,"Middle Bay","Middle Bay","Middle Bay",-268,3256.950136,5,0,"WA-With/Aw","45-45-degrees","BL-Blowing","100","light","light","1'","good","20130514.nc",280.8320007,-267,-257.6666667,"2013_5.img",2.070080042,"2013.img",2.6865201
"3",438671.0804,6484940.142,"2013-05-14-N","2013-05-14-N-019","2013-05-14-N-019",-96,1600.883668,"5/14/2013",20130514,2013,134,2013134,"16:54:49","N","MultiOb",4,1,"Westerdam","Nat","Starboard","y",1,"y",13,180.7105788,438371.9041,6488928.91,13.50524189,438373.7266,6488914.586,175.7213041,3985.552049,-4.989274705,"Lower Bay","Middle Bay","Middle Bay",-98,2974.808139,5,0,"A-Away","90-Perpendicular","BL-Blowing","100","none","moderate","calm","good","20130514.nc",280.928009,-91,-90.71428571,"2013_5.img",NA,"2013.img",1.870869994
"4",429574.2977,6504577.39,"2013-05-18-N","2013-05-18-N-003","2013-05-18-N-003",-59,416.5021771,"5/18/2013",20130518,2013,138,2013138,"7:22:48","Y","Single",1,1,"Island Princess","Nat","Starboard","y",1,"n",0,322.0127057,431772.8786,6504500.125,17.85247898,431761.2819,6504510.101,271.7623051,2188.019072,-50.25040065,"Middle Bay","Middle Bay","Middle Bay",-319,2366.885759,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","100","moderate","moderate","calm","poor","20130518.nc",280.8609924,-261,-135.1428571,"2013_5.img",1.757650018,"2013.img",2.433039904
"5",439830.0907,6501761.7,"2013-05-21-N","2013-05-21-N-015","2013-05-21-N-015",-86,895.6780198,"5/21/2013",20130521,2013,141,2013141,"18:05:41","N","MultiOb",2,1,"Zaandam","Nat","Starboard","y",1,"n",0,159.5117664,437306.3863,6503190.228,18.87455021,437313.93,6503175.752,119.3354672,2886.279375,-40.17629917,"Middle Bay","Middle Bay","Middle Bay",-114,1134.253826,5,0,"U-Unsure","U-Unsure","DN-Dive-no-fluke","0","none","moderate","2'","excellent","20130521.nc",280.355011,-117,-95.42857143,"2013_5.img",1.462290049,"2013.img",3.42821002
"6",438995.1142,6500919.838,"2013-05-21-N","2013-05-21-N-017","2013-05-21-N-017",-154,135.8302059,"5/21/2013",20130521,2013,141,2013141,"18:09:53","Y","Single",1,1,"Zaandam","Nat","Starboard","n",1,"n",0,153.6148675,438245.7579,6500967.179,18.32689751,438254.7489,6500953.555,92.60751719,741.1326775,-61.00735028,"Middle Bay","Middle Bay","Middle Bay",-214,819.749083,5,0,"G-Against","0-Parallel","DN-Dive-no-fluke","0","none","moderate","2'","excellent","20130521.nc",280.3609924,-151,-113.6666667,"2013_5.img",2.126399994,"2013.img",3.046430111
"7",438402.8837,6501311.653,"2013-05-22-N","2013-05-22-N-004","2013-05-22-N-004",-201,657.5901651,"5/22/2013",20130522,2013,142,2013142,"7:13:35","Y","Single",1,1,"Zuiderdam","Nat","Starboard","y",1,"n",0,332.492708,437200.5545,6497496.659,17.22526844,437192.6195,6497508.65,17.65310284,3990.936546,45.16039487,"Middle Bay","Middle Bay","Middle Bay",-241,1820.7379,5,0,"U-Unsure","U-Unsure","BL-Blowing","0","none","moderate","1'","excellent","20130522.nc",280.7000122,-171,-122.1428571,"2013_5.img",2.126399994,"2013.img",3.046430111
"8",439293.9983,6500280.132,"2013-05-22-N","2013-05-22-N-005","2013-05-22-N-005",-197,175.9270956,"5/22/2013",20130522,2013,142,2013142,"7:13:59","Y","Single",1,1,"Zuiderdam","Nat","Starboard","y",3,"n",0,330.2404455,437097.6309,6497684.801,17.46956633,437089.2308,6497696.47,40.47577938,3396.514213,70.23533384,"Middle Bay","Middle Bay","Middle Bay",-241,1789.964913,5,0,"G-Against","0-Parallel","BL-Blowing","0","none","moderate","1'","excellent","20130522.nc",280.7369995,-83,-105.375,"2013_5.img",2.126399994,"2013.img",3.046430111
"9",439364.3259,6501648.267,"2013-05-22-N","2013-05-22-N-022","2013-05-22-N-022",-81,495.6426737,"5/22/2013",20130522,2013,142,2013142,"14:28:09","N","MultiOb",2,1,"Zuiderdam","Nat","Starboard","y",2,"n",0,142.9355271,436879.9395,6503584.784,17.46208168,436889.7552,6503574.277,127.8943751,3135.764126,-15.04115198,"Middle Bay","Middle Bay","Middle Bay",-99,1320.231963,5,0,"U-Unsure","U-Unsure","BL-Blowing","0","none","light","calm","excellent","20130522.nc",280.7099915,-80,-91,"2013_5.img",2.126399994,"2013.img",3.046430111
"10",439193.7525,6501427.684,"2013-05-22-N","2013-05-22-N-023","2013-05-22-N-023",-124,219.9632032,"5/22/2013",20130522,2013,142,2013142,"14:28:51","Y","Single",1,1,"Zuiderdam","Nat","Starboard","y",2,"n",0,141.8184811,437107.0517,6503294.621,18.39893141,437117.0704,6503284.308,131.7977901,2785.61678,-10.02069097,"Middle Bay","Middle Bay","Middle Bay",-106,1240.003736,5,0,"U-Unsure","U-Unsure","BL-Blowing","0","none","light","calm","excellent","20130522.nc",280.7099915,4,-96.14285714,"2013_5.img",2.126399994,"2013.img",3.046430111
"11",435852.6286,6497023.205,"2013-05-22-N","2013-05-22-N-025","2013-05-22-N-025",-111,395.3757752,"5/22/2013",20130522,2013,142,2013142,"14:40:36","Y","Single",1,1,"Zuiderdam","Nat","Starboard","y",1,"n",0,182.7358456,438784.1279,6497660.455,16.32304909,438784.9436,6497646.099,258.0072692,2997.743913,75.27142364,"Middle Bay","Middle Bay","Middle Bay",-217,2835.238187,5,0,"W-With","0-Parallel","BL-Blowing","0","none","light","calm","excellent","20130522.nc",280.7059937,-141,-88.5,"2013_5.img",3.532170057,"2013.img",3.984839916
"12",438266.7588,6493249.062,"2013-05-22-N","2013-05-22-N-026","2013-05-22-N-026",-113,1572.521966,"5/22/2013",20130522,2013,142,2013142,"14:48:38","Y","Single",1,1,"Zuiderdam","Nat","Starboard","y",1,"n",0,181.4142739,438066.7885,6493707.087,16.74540878,438067.9351,6493692.754,155.8622901,486.2033834,-25.55198383,"Lower Bay","Middle Bay","Middle Bay",-128,1530.704505,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","0","none","light","calm","excellent","20130522.nc",280.7520142,-113,-106.5,"2013_5.img",NA,"2013.img",2.489609957
"13",437127.0636,6487387.551,"2013-05-22-N","2013-05-22-N-027","2013-05-22-N-027",-84,1571.295436,"5/22/2013",20130522,2013,142,2013142,"14:55:00","N","MultiOb",2,1,"Zuiderdam","Nat","Starboard","y",1,"y",13,177.0375633,438064.6488,6490447.078,16.05582295,438066.8858,6490432.875,197.1508306,3187.046497,20.11326729,"Lower Bay","Middle Bay","Middle Bay",-84,2143.23371,5,0,"WA-With/Aw","45-45-degrees","BL-Blowing","0","none","light","calm","excellent","20130522.nc",280.7489929,-100,-96.57142857,"2013_5.img",NA,"2013.img",1.870869994
"14",439351.7708,6495184.838,"2013-05-24-N","2013-05-24-N-015","2013-05-24-N-015",-186,3029.00369,"5/24/2013",20130524,2013,144,2013144,"15:09:14","Y","Single",1,1,"Statendam","Nat","Starboard","y",1,"n",0,170.3278365,438001.6435,6495554.896,17.55454085,438006.0512,6495540.938,104.8217216,1392.037598,-65.50611495,"Middle Bay","Middle Bay","Middle Bay",-223,1846.037998,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","90","none","light","calm","excellent","20130524.nc",280.9500122,-184,-123.8571429,"2013_5.img",3.532170057,"2013.img",3.984839916
"15",402728.4146,6528415.213,"2013-05-26-N","2013-05-26-N-003","2013-05-26-N-003",-394,1397.328154,"5/26/2013",20130526,2013,146,2013146,"9:21:55","Y","Single",1,1,"Volendam","Nat","Starboard","n",1,"n",0,289.7291721,403212.271,6527586.223,18.76199364,403203.303,6527587.315,330.1611056,954.4288296,40.43193349,"West Arm","West Arm","West Arm",-400,1889.714578,5,0,"GA-Ag/Away","45-45-degrees","DF-Dive-fluke-up","20","none","moderate","calm","excellent","20130526.nc",281.6069946,-236,-281.6666667,"2013_5.img",NA,"2013.img",NA
"16",402763.8341,6528031.966,"2013-05-26-N","2013-05-26-N-017","2013-05-26-N-017",-395,1694.595375,"5/26/2013",20130526,2013,146,2013146,"13:57:08","N","MultiOb",2,1,"Volendam","Nat","Starboard","y",2,"n",0,109.9007293,401898.7884,6527530.531,19.00237078,401907.7531,6527529.413,59.58540009,992.6903726,-50.31532919,"West Arm","West Arm","West Arm",-267,1277.931024,5,0,"W-With","0-Parallel","RE-Resting","0","none","light","calm","excellent","20130526.nc",281.6069946,-319,-274.7142857,"2013_5.img",NA,"2013.img",NA
"17",438412.5756,6484226.644,"2013-05-27-N","2013-05-27-N-003","2013-05-27-N-003",-92,2196.517984,"5/27/2013",20130527,2013,147,2013147,"6:37:22","N","MultiOb",4,1,"Coral Princess","Nat","Starboard","y",1,"y",13,343.1014935,438935.7727,6482504.438,8.812439151,438929.4989,6482518.209,343.1656932,1784.925494,0.064199645,"Lower Bay","Lower Bay","Lower Bay",-86,1929.715159,5,0,"A-Away","90-Perpendicular","DN-Dive-no-fluke","80","none","moderate","calm","excellent","20130527.nc",280.7539978,-87,-90.71428571,"2013_5.img",NA,"2013.img",NA
"18",403816.8615,6527555.978,"2013-05-29-N","2013-05-29-N-014","2013-05-29-N-014",-400,1726.749904,"5/29/2013",20130529,2013,149,2013149,"12:44:29","N","MultiOb",2,1,"Star Princess","Nat","Starboard","y",2,"n",0,103.6552196,399079.5838,6529155.332,13.19153408,399109.9299,6529151.047,108.7203201,4969.854168,5.065100469,"West Arm","West Arm","West Arm",-350,1493.235889,5,0,"T-Toward","90-Perpendicular","DF-Dive-fluke-up","20","none","moderate","1'","good","20130529.nc",281.7250061,-233,-217.1428571,"2013_5.img",NA,"2013.img",NA
"19",438675.0715,6503469.39,"2013-05-29-S","2013-05-29-S-042","2013-05-29-S-042",-51,286.26677,"5/29/2013",20130529,2013,149,2013149,"14:23:51","Y","MultiOb",1,1,"Zuiderdam","Sara","Starboard","y",3,"n",0,150.7961733,436025.4604,6505756.164,18.04650888,436033.0666,6505744.606,130.734054,3486.660128,-20.06211925,"Middle Bay","Middle Bay","Middle Bay",-63,2608.618789,5,0,"WT-With/To","45-45-degrees","BL-Blowing","40","none","moderate","1'","excellent","20130529.nc",281.2170105,-93,-75.5,"2013_5.img",2.22961998,"2013.img",2.711649895
"20",440603.0061,6470419.899,"2013-05-29-S","2013-05-29-S-044","2013-05-29-S-044",-47,1336.449793,"5/29/2013",20130529,2013,149,2013149,"15:53:47","N","MultiOb",2,1,"Zuiderdam","Sara","Starboard","y",1,"y",13,177.5871597,441692.6238,6475299.706,10.98853001,441694.2039,6475285.96,192.6392936,4986.908607,15.0521339,"Lower Bay","Lower Bay","Lower Bay",-60,3299.479916,5,0,"U-Unsure","U-Unsure","BL-Blowing","100","none","strong","2'","excellent","20130529.nc",281.2539978,-52,-53.28571429,"2013_5.img",2.483030081,"2013.img",3.762200117
