unique_event_ID,same_whale_ID,new_dist_shore_whale_m,nearest_X_land_UTM,nearest_Y_land_UTM
2010-07-02-N-002,2010-07-02-N-002,2589.22493,442887.5864,6480229.722
2009-05-27-K-073,2009-05-27-K-073,2924.333387,438653.9584,6474157.065
2008-07-26-N-026,2008-07-26-N-026,2131.934979,443459.7619,6491704.199
2008-08-11-K-050,2008-08-11-K-050,1836.182618,436523.4942,6494039.656
2007-08-18-N-014,2007-08-18-N-014,1336.494018,415572.1025,6516468.608
2010-07-11-N-040,2010-07-11-N-040,2248.984263,415895.4565,6516280.601
2010-06-04-N-013,2010-06-04-N-013,999.824219,415017.4186,6522087.186
2011-06-20-N-014,2011-06-20-N-014,2176.698306,417780.8696,6520667.1
2011-09-16-N-003,2011-09-16-N-003,226.518951,420103.8029,6519615.355
2012-07-10-N-017,2012-07-10-N-017,1949.108037,422048.2365,6517810.549
2007-08-10-K-007,2007-08-10-K-007,843.269812,419763.0443,6520049.898
2006-07-26-K-716,2006-07-26-K-716,1986.376012,417780.8696,6520667.1
2009-06-03-N-016,2009-06-03-N-016,1823.635234,417653.8118,6520661.722
2012-09-23-N-019,2012-09-23-N-019,3206.983981,422674.1999,6517129.289
2010-08-13-N-015,2010-08-13-N-015,200.812418,417614.0549,6520682.425
2009-08-19-K-050,2009-08-19-K-050,615.838388,416500.2808,6514771.985
2008-08-25-K-002,2008-08-25-K-002,3454.772429,452785.5021,6460829.428
2009-06-24-K-086,2009-06-24-K-086,3402.739181,432092.8059,6460664.934
2010-07-19-K-014,2010-07-19-K-014,5351.139409,451692.7782,6460451.422
2009-06-21-K-081,2009-06-21-K-081,2681.767176,428573.5904,6465775.322
2008-06-11-K-013,2008-06-11-K-013,3084.933126,451692.7782,6460451.422
2008-08-06-K-008,2008-08-06-K-008,3383.031567,451692.7782,6460451.422
2009-08-12-K-082,2009-08-12-K-082,2118.402371,419770.4912,6463267.762
2008-07-28-K-064,2008-07-28-K-064,480.556975,417989.9413,6459904.035
2008-06-15-K-028,2008-06-15-K-028,1774.226712,441809.231,6481316.375
2010-07-19-N-053,2010-07-19-N-053,1440.400707,440137.328,6486338.956
2008-06-25-N-002,2008-06-25-N-002,2693.279493,437853.9748,6477551.267
2009-09-07-K-021,2009-09-07-K-021,1449.329515,437379.8074,6480677.969
2010-07-19-K-081,2010-07-19-K-081,1513.576293,441809.231,6481316.375
2008-09-15-N-048,2008-09-15-N-048,1465.450056,440168.0387,6485494.895
2008-08-03-K-093,2008-08-03-K-093,987.152792,453092.6272,6460997.376
2010-08-18-N-035,2010-08-18-N-035,1107.87126,441809.231,6481316.375
