"","whale_easting","whale_northing","Event_ID","EvB_Wpt_Id","SwB_Wpt_ID","whale_depth_m","whale_dist_to_shore_m","Event_Date","DateTxt","Year","JulianDay","Julian_DateTxt","TimeTxt","CPA","ObType","ObOrder_CPA","ObOrder_Time","Ship","Observer","ObLocation","Approx","Count","IS_WW","WW_Speed","ship_azimuth","GPS_easting","GPS_northing","ship_speed","ship_bb_easting","ship_bb_northing","ship_bb_to_whale_azimuth","ship_bb_to_whale_dist","ship_bb_to_whale_bearing","Subarea1","Subarea2","Subarea3","ship_depth_m","ship_dist_to_shore_m","month","season","whale_direction","whale_orientation","whale_behavior","clouds","rain","wind","waves","visibility","sst_fn","sst","point_ocean_depth","ave_ocean_depth_250m_buff","chlor_fn","chlor_a","chlor_ann_fn","chlor_a_ann"
"1",397637.8366,6528590.357,"2010-05-05-N","2010-05-05-N-019","2010-05-05-N-019",-256,1159.446716,"5/17/2010",20100505,2010,137,2010137,"13:50:38","Y","Single",1,1,"Amsterdam","Nat","Starboard","y",1,"n",0,284.9683385,397818.5948,6529266.45,19.95620163,397803.6523,6529269.41,193.7223316,699.0045504,-91.24600691,"West Arm","West Arm","West Arm",-250,1826.465677,5,0,"W-With","0-Parallel","BL-Blowing","90","none","moderate","calm","excellent","20100505.nc",279.96,-215,-136.25,"2010_5.img",NA,"2010.img",NA
"2",394883.6446,6529659.701,"2010-05-05-N","2010-05-05-N-038","2010-05-05-N-038",-376,1696.20078,"5/17/2010",20100505,2010,137,2010137,"18:00:24","Y","Single",1,1,"Amsterdam","Nat","Starboard","n",1,"n",0,102.5407329,394517.1211,6530365.01,17.44665349,394532.1756,6530362.685,153.4364673,785.9501946,50.89573439,"West Arm","West Arm","West Arm",-366,1247.169552,5,0,"WT-With/To","45-45-degrees","DF-Dive-fluke-up","30","none","light","1'","excellent","20100505.nc",279.967,-210,-200.4285714,"2010_5.img",NA,"2010.img",NA
"3",423154.31,6515388.623,"2010-05-12-N","2010-05-12-N-010","2010-05-12-N-010",-415,936.8981141,"5/12/2010",20100512,2010,132,2010132,"11:52:57","Y","Single",1,1,"Amsterdam","Nat","Starboard","y",1,"n",0,311.3173237,422634.591,6514534.418,19.7515453,422622.5146,6514543.702,32.18640726,998.3476966,80.86908355,"Middle Bay","West Arm","West Arm",-415,1932.790253,5,0,"G-Against","0-Parallel","BL-Blowing","100","moderate","moderate","1'","poor","20100512.nc",281.4039917,-299,-221.125,"2010_5.img",NA,"2010.img",3.693190098
"4",427342.8409,6511081.822,"2010-05-12-N","2010-05-12-N-033","2010-05-12-N-033",-401,2178.800437,"5/12/2010",20100512,2010,132,2010132,"18:04:07","Y","Single",1,1,"Amsterdam","Nat","Starboard","y",1,"n",0,136.3996648,425551.4626,6511971.057,15.85531172,425562.669,6511960.739,116.2767509,1985.32297,-20.12291385,"Middle Bay","West Arm","West Arm",-391,2134.232792,5,0,"U-Unsure","U-Unsure","BL-Blowing","100","moderate","strong","2'","poor","20100512.nc",281.4330139,-307,-283.6666667,"2010_5.img",3.201129913,"2010.img",3.780260086
"5",427701.0676,6511562.043,"2010-05-12-N","2010-05-12-N-034","2010-05-12-N-034",-411,1625.323498,"5/12/2010",20100512,2010,132,2010132,"18:06:27","Y","Single",1,1,"Amsterdam","Nat","Starboard","y",1,"n",0,141.3363677,426280.0183,6511082.049,15.92327252,426290.2953,6511070.805,70.80164949,1493.851654,-70.53471821,"Middle Bay","West Arm","West Arm",-254,1734.509159,5,0,"U-Unsure","U-Unsure","BL-Blowing","100","moderate","strong","2'","poor","20100512.nc",281.4360046,-269,-269.3333333,"2010_5.img",3.201129913,"2010.img",3.780260086
"6",434813.2757,6499153.566,"2010-05-12-N","2010-05-12-N-035","2010-05-12-N-035",-200,1667.56591,"5/12/2010",20100512,2010,132,2010132,"18:33:44","Y","Single",1,1,"Amsterdam","Nat","Starboard","y",1,"n",0,139.3510606,435056.9883,6500633.559,16.20718501,435067.6486,6500622.678,189.8232239,1490.971297,50.47216329,"Middle Bay","Middle Bay","Middle Bay",-288,3164.759098,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","100","light","strong","2'","good","20100512.nc",281.5100098,-206,-179.5714286,"2010_5.img",5.148849964,"2010.img",6.083370209
"7",435783.1344,6497177.328,"2010-05-13-N","2010-05-13-N-007","2010-05-13-N-007",-238,421.3263337,"5/13/2010",20100513,2010,133,2010133,"6:47:35","Y","Single",1,1,"Norwegian Pearl","Nat","Starboard","y",1,"n",0,345.7422347,437677.2302,6495545.718,17.70730584,437673.8967,6495554.776,310.6344466,2491.517044,-35.1077881,"Middle Bay","Middle Bay","Middle Bay",-231,1561.827789,5,0,"A-Away","90-Perpendicular","BL-Blowing","90","none","light","1'","excellent","20100513.nc",281.1830139,-141,-74.85714286,"2010_5.img",4.208570004,"2010.img",3.900409937
"8",415092.9403,6521389.668,"2010-05-13-N","2010-05-13-N-012","2010-05-13-N-012",-242,421.6700278,"5/13/2010",20100513,2010,133,2010133,"7:42:00","Y","Single",1,1,"Norwegian Pearl","Nat","Starboard","y",1,"n",0,316.50731,417845.9669,6518487.842,18.71903439,417838.6341,6518494.118,316.5216685,3990.36892,0.014358517,"Middle Bay","West Arm","West Arm",-429,2180.229751,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","90","none","light","1'","excellent","20100513.nc",NA,-205,-85,"2010_5.img",NA,"2010.img",NA
"9",409231.0687,6522952.519,"2010-05-13-N","2010-05-13-N-032","2010-05-13-N-032",-13,234.8594132,"5/13/2010",20100513,2010,133,2010133,"12:37:32","Y","Single",1,1,"Norwegian Pearl","Nat","Starboard","y",1,"n",0,105.7103302,407964.6255,6524500.379,14.96873053,407974.1376,6524498.743,140.8922101,1992.657346,35.18187987,"West Arm","West Arm","West Arm",-341,1039.671918,5,0,"W-With","0-Parallel","BL-Blowing","100","none","moderate","1'","good","20100513.nc",280.8580017,5,102.6666667,"2010_5.img",NA,"2010.img",NA
"10",437636.6057,6488516.054,"2010-05-14-N","2010-05-14-N-008","2010-05-14-N-008",-94,2788.163348,"5/14/2010",20100514,2010,134,2010134,"6:42:51","Y","Single",1,1,"Ryndam","Nat","Starboard","n",1,"n",0,356.288957,438370.816,6487976.941,14.39158626,438368.9443,6487990.348,305.6725211,901.4914975,-50.61643591,"Lower Bay","Middle Bay","Middle Bay",-97,2342.625731,5,0,"WA-With/Aw","45-45-degrees","DF-Dive-fluke-up","100","none","moderate","1'","excellent","20100514.nc",279.6849976,-110,-97.5,"2010_5.img",2.571010113,"2010.img",3.240720034
