"","whale_easting","whale_northing","Event_ID","EvB_Wpt_Id","SwB_Wpt_ID","whale_depth_m","whale_dist_to_shore_m","Event_Date","DateTxt","Year","JulianDay","Julian_DateTxt","TimeTxt","CPA","ObType","ObOrder_CPA","ObOrder_Time","Ship","Observer","ObLocation","Approx","Count","IS_WW","WW_Speed","ship_azimuth","GPS_easting","GPS_northing","ship_speed","ship_bb_easting","ship_bb_northing","ship_bb_to_whale_azimuth","ship_bb_to_whale_dist","ship_bb_to_whale_bearing","Subarea1","Subarea2","Subarea3","ship_depth_m","ship_dist_to_shore_m","month","season","whale_direction","whale_orientation","whale_behavior","clouds","rain","wind","waves","visibility","sst_fn","sst","point_ocean_depth","ave_ocean_depth_250m_buff","chlor_fn","chlor_a","chlor_ann_fn","chlor_a_ann"
"1",440822.0163,6477826.365,"2009-05-11-K","2009-05-11-K-018","2009-05-11-K-018",-54,2949.707824,"5/11/2009",20090511,2009,131,2009131,"16:29:45","Y","Single",1,1,"Zaandam","Karin","Port","y",1,"n",0,129.4096144,440402.532,6479370.323,14.25058115,440413.0062,6479359.128,165.0590513,1586.396192,35.64943685,"Lower Bay","Lower Bay","Lower Bay",-55,2333.934708,5,0,"T-Toward","90-Perpendicular","DF-Dive-fluke-up","10","none","moderate","2'","excellent","20090511.nc",280.4200134,-56,-55.14285714,"2009_5.img",NA,"2009.img",2.016700029
"2",442268.3549,6478150.146,"2009-05-11-K","2009-05-11-K-020","2009-05-11-K-020",-52,2131.404374,"5/11/2009",20090511,2009,131,2009131,"16:35:20","Y","Single",1,1,"Zaandam","Karin","Port","n",1,"n",0,129.1631446,441947.4116,6478171.463,7.617713546,441957.9339,6478160.313,91.8759088,310.5874543,-37.2872358,"Lower Bay","Lower Bay","Lower Bay",-53,2247.901529,5,0,"G-Against","0-Parallel","BL-Blowing","10","none","moderate","2'","excellent","20090511.nc",280.4030151,-55,-51.57142857,"2009_5.img",NA,"2009.img",2.016700029
"3",437195.7523,6466296.032,"2009-05-11-K","2009-05-11-K-023","2009-05-11-K-023",-110,2176.672602,"5/11/2009",20090511,2009,131,2009131,"17:01:18","Y","Single",1,1,"Zaandam","Karin","Port","y",1,"n",0,220.1074861,440957.8099,6469589.464,18.83295702,440946.488,6469579.127,228.8036802,4984.64984,8.696194123,"Lower Bay","Outside","Lower Bay",-63,1941.081125,5,0,"A-Away","90-Perpendicular","BL-Blowing","10","none","moderate","2'","excellent","20090511.nc",280.3590088,-106,-102.2857143,"2009_5.img",NA,"2009.img",3.091419935
"4",439146.9796,6469886.557,"2009-05-11-K","2009-05-11-K-024","2009-05-11-K-024",-9,629.3731033,"5/11/2009",20090511,2009,131,2009131,"17:02:49","Y","Single",1,1,"Zaandam","Karin","Port","y",1,"n",0,227.8839101,440315.9281,6468946.698,19.9011765,440303.3117,6468937.988,309.3629061,1495.622474,81.47899596,"Lower Bay","Outside","Lower Bay",-38,1905.153557,5,0,"A-Away","90-Perpendicular","SA-Surface-active","10","none","moderate","2'","excellent","20090511.nc",280.3649902,-17,-24.42857143,"2009_5.img",4.383969784,"2009.img",5.645699978
"5",437631.6714,6466868.428,"2009-05-11-K","2009-05-11-K-025","2009-05-11-K-025",-98,2170.717828,"5/11/2009",20090511,2009,131,2009131,"17:05:46","Y","Single",1,1,"Zaandam","Karin","Port","y",1,"n",0,230.6530381,438872.2302,6467711.511,21.54876377,438859.2077,6467703.421,235.7757506,1484.606998,5.122712521,"Lower Bay","Outside","Lower Bay",-61,2652.086528,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","10","none","moderate","2'","excellent","20090511.nc",280.3609924,-107,-93.66666667,"2009_5.img",3.321350098,"2009.img",2.251790047
"6",417257.1347,6460249.887,"2009-05-11-K","2009-05-11-K-027","2009-05-11-K-027",-191,611.0492789,"5/11/2009",20090511,2009,131,2009131,"17:43:28","Y","Single",1,1,"Zaandam","Karin","Port","y",2,"n",0,245.0840197,417317.7495,6460846.629,20.46519367,417303.1216,6460842.039,184.4407188,593.935126,-60.64330093,"West Icy","Outside","Outside",-99,1084.35981,5,0,"T-Toward","90-Perpendicular","DF-Dive-fluke-up","10","none","moderate","2'","excellent","20090511.nc",280.4379883,-205,-191.8571429,"2009_5.img",NA,"2009.img",NA
"7",402525.227,6527683.257,"2009-05-12-N","2009-05-12-N-010","2009-05-12-N-010",-396,1779.899371,"5/12/2009",20090512,2009,132,2009132,"13:04:06","Y","Single",1,1,"Westerdam","Nat","Starboard","y",1,"n",0,287.4002588,403503.9843,6527478.784,18.47968901,403490.0396,6527482.106,281.77673,985.558242,-5.623528839,"West Arm","West Arm","West Arm",-400,1882.395631,5,0,"GA-Ag/Away","45-45-degrees","BL-Blowing","50","none","moderate","calm","excellent","20090512.nc",280.730011,-319,-258.6666667,"2009_5.img",NA,"2009.img",NA
"8",438541.4678,6484659.789,"2009-05-13-N","2009-05-13-N-055","2009-05-13-N-055",-92,1804.055202,"5/13/2009",20090513,2009,133,2009133,"16:22:08","Y","Single",1,1,"Zuiderdam","Nat","Starboard","y",1,"n",0,176.6814251,438265.2778,6485410.452,16.02665974,438267.1039,6485396.234,159.5670156,785.8916868,-17.11440943,"Lower Bay","Lower Bay","Lower Bay",-98,1833.722291,5,0,"U-Unsure","U-Unsure","BL-Blowing","20","none","moderate","1'","excellent","20090513.nc",280.5339966,-87,-95.28571429,"2009_5.img",NA,"2009.img",2.13854003
"9",437334.5938,6491409.942,"2009-05-15-N","2009-05-15-N-054","2009-05-15-N-054",-81,1040.554867,"5/15/2009",20090515,2009,135,2009135,"16:14:41","N","MultiOb",2,1,"Statendam","Nat","Starboard","y",1,"n",0,177.6710029,437846.5821,6492268.81,14.26967136,437848.1299,6492255.362,211.2758757,989.1685878,33.6048728,"Lower Bay","Middle Bay","Middle Bay",-101,1173.463069,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","90","none","light","calm","excellent","20090515.nc",280.7770081,-77,-77.625,"2009_5.img",NA,"2009.img",2.262870073
"10",436961.095,6491884.446,"2009-05-15-N","2009-05-15-N-056","2009-05-15-N-056",-45,601.447706,"5/15/2009",20090515,2009,135,2009135,"16:19:34","Y","Single",1,1,"Statendam","Nat","Starboard","y",1,"n",0,177.3837325,437936.7883,6490138.649,14.01980069,437938.4035,6490125.209,330.946538,2012.473594,153.5628056,"Lower Bay","Middle Bay","Middle Bay",-93,2241.307187,5,0,"G-Against","0-Parallel","BL-Blowing","90","none","light","calm","excellent","20090515.nc",280.7799988,-51,-48.75,"2009_5.img",NA,"2009.img",2.262870073
"11",452140.1527,6463533.284,"2009-05-18-K","2009-05-18-K-013","2009-05-18-K-013",-94,2708.881713,"5/18/2009",20090518,2009,138,2009138,"6:08:37","N","MultiOb",3,1,"Zaandam","Karin","Starboard","y",1,"n",0,280.8416501,453092.175,6463227.623,10.69591923,453077.6225,6463232.447,287.7916303,984.5571645,6.949980183,"Lower Bay","Outside","Outside",-101,2230.247768,5,0,"WA-With/Aw","45-45-degrees","BL-Blowing","0","none","strong","2'","excellent","20090518.nc",281.1499939,-94,-99.125,"2009_5.img",7.791669846,"2009.img",7.520259857
"12",443409.8963,6470947.391,"2009-05-18-K","2009-05-18-K-016","2009-05-18-K-016",-71,2813.418689,"5/18/2009",20090518,2009,138,2009138,"6:36:28","N","MultiOb",3,1,"Zaandam","Karin","Starboard","y",1,"n",0,347.3338108,444659.2272,6467147.53,12.13091298,444657.8456,6467162.798,341.7503039,3985.03708,-5.583506932,"Lower Bay","Outside","Outside",-73,4465.178016,5,0,"U-Unsure","U-Unsure","BL-Blowing","0","none","strong","2'","excellent","20090518.nc",280.9620056,-66,-66.625,"2009_5.img",NA,"2009.img",3.132679939
"13",443501.1979,6469864.914,"2009-05-18-K","2009-05-18-K-018","2009-05-18-K-018",-71,3133.397103,"5/18/2009",20090518,2009,138,2009138,"6:39:11","Y","Single",1,1,"Zaandam","Karin","Starboard","y",1,"n",0,355.8215015,444566.9205,6468172.575,12.53552274,444567.8077,6468187.88,327.5432387,1987.485187,-28.27826278,"Lower Bay","Outside","Outside",-70,3595.589644,5,0,"T-Toward","90-Perpendicular","BL-Blowing","0","none","strong","2'","excellent","20090518.nc",280.9580078,-50,-64.875,"2009_5.img",4.383969784,"2009.img",5.645699978
"14",440651.0976,6469635.237,"2009-05-18-K","2009-05-18-K-019","2009-05-18-K-019",-25,1658.543774,"5/18/2009",20090518,2009,138,2009138,"6:40:19","Y","Single",1,1,"Zaandam","Karin","Starboard","y",1,"n",0,352.8159414,444518.364,6468613.461,12.74589329,444518.4474,6468628.792,284.5871783,3996.16392,-68.22876309,"Lower Bay","Outside","Outside",-71,3239.763887,5,0,"W-With","0-Parallel","LF-Lunge-feed","0","none","strong","2'","excellent","20090518.nc",280.8999939,-37,-44.5,"2009_5.img",4.383969784,"2009.img",5.645699978
"15",443876.4427,6469859.272,"2009-05-18-K","2009-05-18-K-021","2009-05-18-K-021",-70,2812.114698,"5/18/2009",20090518,2009,138,2009138,"6:42:53","Y","Single",1,1,"Zaandam","Karin","Starboard","n",1,"n",0,351.8091745,444371.9021,6469630.337,13.16340885,444371.7161,6469645.667,293.3298596,539.3725053,-58.47931489,"Lower Bay","Outside","Outside",-69,2552.669985,5,0,"W-With","0-Parallel","DF-Dive-fluke-up","0","none","strong","2'","excellent","20090518.nc",280.9580078,-50,-89.375,"2009_5.img",4.383969784,"2009.img",5.645699978
"16",437857.6878,6492352.054,"2009-05-18-K","2009-05-18-K-038","2009-05-18-K-038",-112,1162.338921,"5/18/2009",20090518,2009,138,2009138,"7:34:15","Y","Single",1,1,"Zaandam","Karin","Starboard","y",1,"n",0,2.872950822,438276.1535,6490911.685,17.33667402,438278.9128,6490926.766,343.5356488,1486.22879,-19.33730206,"Lower Bay","Middle Bay","Middle Bay",-57,2098.730531,5,0,"GT-Ag/To","45-45-degrees","DF-Dive-fluke-up","0","none","strong","2'","excellent","20090518.nc",281.0010071,-109,-93.875,"2009_5.img",NA,"2009.img",2.262870073
"17",442132.4734,6471733.146,"2009-05-18-K","2009-05-18-K-063","2009-05-18-K-063",-57,2683.6609,"5/18/2009",20090518,2009,138,2009138,"16:45:29","N","MultiOb",3,1,"Zaandam","Karin","Starboard","y",1,"y",20,192.0939685,442785.2874,6473083.556,12.23745409,442780.1472,6473069.113,205.8640014,1484.684876,13.77003294,"Lower Bay","Lower Bay","Lower Bay",-63,3534.042018,5,0,"A-Away","90-Perpendicular","BL-Blowing","0","none","light","1'","excellent","20090518.nc",280.9530029,-65,-69.42857143,"2009_5.img",NA,"2009.img",3.132679939
"18",442011.5147,6471578.171,"2009-05-18-K","2009-05-18-K-066","2009-05-18-K-066",-58,2536.939658,"5/18/2009",20090518,2009,138,2009138,"16:47:58","N","MultiOb",2,1,"Zaandam","Karin","Starboard","y",1,"y",20,197.3408013,442534.1593,6472183.661,12.14069849,442527.7198,6472169.748,221.1076957,785.1308667,23.76689441,"Lower Bay","Lower Bay","Lower Bay",-62,3158.737801,5,0,"WA-With/Aw","45-45-degrees","BL-Blowing","0","none","light","1'","excellent","20090518.nc",280.9339905,-65,-70.16666667,"2009_5.img",NA,"2009.img",3.132679939
"19",442482.0135,6471249.304,"2009-05-18-K","2009-05-18-K-068","2009-05-18-K-068",-61,2972.259907,"5/18/2009",20090518,2009,138,2009138,"16:50:30","Y","Single",1,1,"Zaandam","Karin","Starboard","n",1,"y",20,202.4784664,442182.9474,6471295.602,12.08377195,442175.2878,6471282.322,96.14392983,308.49757,-106.3345366,"Lower Bay","Outside","Lower Bay",-61,2676.207625,5,0,"T-Toward","90-Perpendicular","DF-Dive-fluke-up","0","none","light","1'","excellent","20090518.nc",280.946991,-65,-67.66666667,"2009_5.img",NA,"2009.img",3.132679939
"20",442108.4524,6470802.266,"2009-05-18-K","2009-05-18-K-069","2009-05-18-K-069",-66,2614.811221,"5/18/2009",20090518,2009,138,2009138,"16:51:00","N","MultiOb",2,1,"Zaandam","Karin","Starboard","n",1,"y",13,205.7636748,442113.0272,6471129.891,11.6887393,442104.6192,6471117.071,179.3023733,314.8285144,-26.46130157,"Lower Bay","Outside","Lower Bay",-61,2600.370877,5,0,"U-Unsure","U-Unsure","BL-Blowing","0","none","light","1'","excellent","20090518.nc",280.9339905,-72,-72.85714286,"2009_5.img",4.383969784,"2009.img",5.645699978
"21",442580.9367,6470327.216,"2009-05-18-K","2009-05-18-K-071","2009-05-18-K-071",-71,3168.338841,"5/18/2009",20090518,2009,138,2009138,"16:52:30","Y","Single",1,1,"Zaandam","Karin","Starboard","y",1,"y",13,209.2954132,441860.8083,6470675.34,10.71761969,441851.6265,6470663.062,114.7260001,802.9234223,-94.56941317,"Lower Bay","Outside","Lower Bay",-67,2389.349846,5,0,"G-Against","0-Parallel","DF-Dive-fluke-up","0","none","light","1'","excellent","20090518.nc",280.927002,-68,-74.66666667,"2009_5.img",4.383969784,"2009.img",5.645699978
"22",441279.3404,6470145.352,"2009-05-18-K","2009-05-18-K-072","2009-05-18-K-072",-65,1978.418217,"5/18/2009",20090518,2009,138,2009138,"16:52:57","Y","Single",1,1,"Zaandam","Karin","Starboard","n",1,"y",13,208.6756023,441790.7974,6470547.829,9.995497163,441781.749,6470535.453,232.1720353,636.0763715,23.49643301,"Lower Bay","Outside","Lower Bay",-67,2348.205951,5,0,"GA-Ag/Away","45-45-degrees","BL-Blowing","0","none","light","1'","excellent","20090518.nc",280.9070129,-95,-67,"2009_5.img",4.383969784,"2009.img",5.645699978
"23",441464.3879,6469968.402,"2009-05-18-K","2009-05-18-K-073","2009-05-18-K-073",-66,2214.703048,"5/18/2009",20090518,2009,138,2009138,"16:53:32","Y","Single",1,1,"Zaandam","Karin","Starboard","y",1,"y",13,207.0403167,441712.763,6470402.089,8.835343393,441704.0714,6470389.46,209.6503032,484.4979371,2.609986481,"Lower Bay","Outside","Lower Bay",-67,2310.65286,5,0,"A-Away","90-Perpendicular","DF-Dive-fluke-up","0","none","light","1'","excellent","20090518.nc",280.9070129,-71,-70.375,"2009_5.img",4.383969784,"2009.img",5.645699978
"24",441038.4234,6469151.111,"2009-05-18-K","2009-05-18-K-074","2009-05-18-K-074",-55,2254.965575,"5/18/2009",20090518,2009,138,2009138,"16:54:26","N","MultiOb",2,1,"Zaandam","Karin","Starboard","y",1,"y",13,204.5046699,441616.4826,6470202.597,7.168079916,441608.3583,6470189.596,208.7586005,1184.599454,4.253930629,"Lower Bay","Outside","Lower Bay",-66,2276.030752,5,0,"W-With","0-Parallel","BL-Blowing","0","none","light","1'","excellent","20090518.nc",280.8900146,-71,-50,"2009_5.img",4.383969784,"2009.img",5.645699978
"25",440625.0438,6470029.693,"2009-05-18-K","2009-05-18-K-076","2009-05-18-K-076",-21,1430.96836,"5/18/2009",20090518,2009,138,2009138,"16:58:57","Y","Single",1,1,"Zaandam","Karin","Starboard","y",1,"y",13,222.3150162,441178.0253,6469600.757,4.846281285,441166.3137,6469590.863,309.033103,696.8102936,86.71808684,"Lower Bay","Outside","Lower Bay",-63,2123.730908,5,0,"GA-Ag/Away","45-45-degrees","BL-Blowing","0","none","light","1'","excellent","20090518.nc",280.8999939,-52,-47.75,"2009_5.img",4.383969784,"2009.img",5.645699978
"26",441165.9526,6468973.723,"2009-05-18-K","2009-05-18-K-077","2009-05-18-K-077",-49,2465.03814,"5/18/2009",20090518,2009,138,2009138,"16:59:11","N","MultiOb",4,1,"Zaandam","Karin","Starboard","y",1,"y",13,222.4741851,441153.3911,6469573.404,4.981726283,441141.652,6469563.543,177.6407466,590.3205773,-44.83343853,"Lower Bay","Outside","Lower Bay",-63,2116.789641,5,0,"W-With","0-Parallel","BL-Blowing","0","none","light","1'","excellent","20090518.nc",280.8900146,-54,-51.14285714,"2009_5.img",4.383969784,"2009.img",5.645699978
"27",437663.3066,6487558.278,"2009-05-18-N","2009-05-18-N-009","2009-05-18-N-009",-90,2146.291875,"5/18/2009",20090518,2009,138,2009138,"11:00:02","Y","Single",1,1,"Diamond Princess","Nat","Starboard","n",1,"y",20,0.937107864,438209.5198,6487382.908,15.90699537,438208.0451,6487415.036,284.7326664,563.2567449,-76.20444149,"Lower Bay","Lower Bay","Lower Bay",-97,2192.322789,5,0,"T-Toward","90-Perpendicular","DF-Dive-fluke-up","0","none","light","calm","excellent","20090518.nc",280.9909973,-118,-107,"2009_5.img",2.959140062,"2009.img",2.176379919
"28",412814.0084,6522184.25,"2009-05-20-N","2009-05-20-N-022","2009-05-20-N-022",-425,1507.249749,"5/20/2009",20090520,2009,140,2009140,"8:51:38","Y","Single",1,1,"Zuiderdam","Nat","Starboard","n",1,"n",0,308.8216123,413557.6176,6521564.698,18.45170541,413545.8496,6521572.884,309.8747456,953.6037456,1.053133349,"West Arm","West Arm","West Arm",-430,1384.468034,5,0,"A-Away","90-Perpendicular","BL-Blowing","100","none","light","calm","excellent","20090520.nc",281.4840088,-240,-241,"2009_5.img",NA,"2009.img",NA
"29",479248.0011,6452725.975,"2009-05-24-K","2009-05-24-K-009","2009-05-24-K-009",-260,4207.72597,"5/24/2009",20090524,2009,144,2009144,"5:25:03","N","MultiOb",2,1,"Volendam","Karin","Starboard","y",1,"n",0,294.9372326,481186.829,6453216.574,18.36569543,481178.9039,6453218.053,255.7028619,1992.61798,-39.23437067,"East Icy","Outside","Outside",-263,2457.575916,5,0,"A-Away","90-Perpendicular","BL-Blowing","100","none","moderate","calm","excellent","20090524.nc",280.9869995,-260,-263.5714286,"2009_5.img",8.524049759,"2009.img",9.551589966
"30",473373.5761,6455776.793,"2009-05-24-K","2009-05-24-K-013","2009-05-24-K-013",-241,6304.098949,"5/24/2009",20090524,2009,144,2009144,"5:38:57","Y","Single",1,1,"Volendam","Karin","Starboard","n",1,"n",0,293.6891238,473833.4795,6456438.507,18.85714811,473825.524,6456439.814,214.2802928,802.4046292,-79.408831,"East Icy","Outside","Outside",-258,6869.062144,5,0,"WA-With/Aw","45-45-degrees","DF-Dive-fluke-up","100","none","moderate","calm","excellent","20090524.nc",280.9129944,-248,-230.6666667,"2009_5.img",15.19890022,"2009.img",14.93906021
"31",471962.0095,6456236.211,"2009-05-24-K","2009-05-24-K-014","2009-05-24-K-014",-226,6366.466147,"5/24/2009",20090524,2009,144,2009144,"5:42:45","Y","Single",1,1,"Volendam","Karin","Starboard","y",1,"n",0,289.6873274,471767.8003,6457217.039,18.90381383,471759.7731,6457217.787,168.3581212,1002.193109,-121.3292062,"East Icy","Outside","Outside",-241,7311.345926,5,0,"G-Against","0-Parallel","BL-Blowing","100","none","moderate","calm","excellent","20090524.nc",280.901001,-213,-225.5714286,"2009_5.img",15.19890022,"2009.img",14.93906021
"32",458986.0744,6458697.921,"2009-05-24-K","2009-05-24-K-015","2009-05-24-K-015",-117,3153.212195,"5/24/2009",20090524,2009,144,2009144,"5:57:22","Y","Single",1,1,"Volendam","Karin","Starboard","y",1,"n",0,291.450816,463735.91,6460259.588,18.71465004,463727.9096,6460260.582,251.76048,4992.685762,-39.69033599,"East Icy","Outside","Outside",-153,4975.831511,5,0,"A-Away","90-Perpendicular","BL-Blowing","100","none","moderate","calm","excellent","20090524.nc",280.5610046,-113,-110.125,"2009_5.img",17.07929993,"2009.img",12.79899025
