"","unique_event_ID","same_whale_ID","ship","count","count_factor","ship_speed","distance","whale_behavior","visibility","waves","X_whale_UTM","Y_whale_UTM","ship_speed_scaled","grid_ID","ship_whale_dist_round","det_idx","det_prob","adjusted_count","adjusted_count_sum","count_sum"
"3405","2011-07-17-N-029","2011-07-17-N-029","Volendam",2,"2-3",18.56400224,2490.985683,"BL-Blowing","good","1'",440868.7086,6497047.855,1.18361834765,10104,2490,"2_good_2490",0.287320227233081,6.96087435005942,103.369348393602,10
"3406","2011-07-17-N-033","2011-07-17-N-033","Volendam",3,"2-3",13.51741676,3991.005027,"BL-Blowing","good","1'",440015.8468,6483095.62,-0.332286135932,9707,3990,"3_good_3990",0.111069853039273,27.0100294356132,105.999637917764,13
"3407","2011-07-18-N-039","2011-07-18-N-039","Diamond Princess",3,"2-3",9.583340564,1974.4803,"BL-Blowing","good","calm",439618.1837,6485600.096,-1.51401262564,9780,1970,"3_good_1970",0.435939386039929,6.88169065716218,155.037741618851,14
"3408","2011-07-20-N-037","2011-07-20-N-037","Zuiderdam",2,"2-3",11.24862096,1039.845121,"BL-Blowing","good","1'",437516.7063,6484772.586,-1.01379202525,9739,1040,"2_good_1040",0.90898633158951,2.20025310666958,188.337667561718,42
"3409","2011-07-22-N-044","2011-07-22-N-044","Island Princess",2,"2-3",14.12054356,1484.616228,"BL-Blowing","good","calm",438116.7719,6494646.054,-0.151117576733,10026,1480,"2_good_1480",0.662757206052727,3.01769634752321,91.8905124011491,9
"3410","2011-08-01-N-018","2011-08-01-N-018","Diamond Princess",2,"2-3",12.00008486,1188.511196,"BL-Blowing","good","calm",436959.9066,6487627.565,-0.788065640591,9839,1190,"2_good_1190",0.830020506453923,2.40957902178171,387.207454507712,37
"3411","2011-09-04-N-011","2011-09-04-N-011","Volendam",2,"2-3",14.45095484,1991.905053,"BL-Blowing","good","calm",399263.1614,6527673.794,-0.0518679072757,11205,1990,"2_good_1990",0.428663331587166,4.66566615948887,38.9884290658313,8
"3412","2012-05-10-N-003","2012-05-10-N-003","Norwegian Pearl",2,"2-3",18.22403816,1988.233045,"DF-Dive-fluke-up","good","1'",431799.3557,6505071.387,1.08149918705,10400,1990,"2_good_1990",0.428663331587166,4.66566615948887,138.271631057948,12
"3413","2012-05-18-N-032","2012-05-18-N-032","Sea Princess",2,"2-3",15.46809583,1984.339202,"DF-Dive-fluke-up","good","calm",431595.3596,6501928.623,0.253663147987,10285,1980,"2_good_1980",0.432283239149157,4.62659621949837,88.4896496141309,11
"3414","2012-05-18-N-033","2012-05-18-N-033","Sea Princess",2,"2-3",15.63246442,4473.04662,"DF-Dive-fluke-up","good","calm",435045.3005,6497513.72,0.303036547789,10125,4470,"2_good_4470",0.0872318429331901,22.9274073864492,140.397316738423,15
